eLrH,eHrL
0.9491787,1.2787377
0.8667342,1.3022452
0.8925459,1.4676729
1.0944765,1.0878673
1.0366073,1.4498753
0.9742106,1.1971298
0.9752376,1.2096738
0.94823,1.332055
0.9514871,1.449078
0.9693392,1.3009303
0.9783588,1.4418456
1.0240332,1.3191141
1.0502821,1.2496301
0.8394195,1.2822045
1.001473,1.3951236
0.8642646,1.7597371
0.7893636,1.3852619
0.9426185,1.2020432
1.0232572,1.2303144
0.773898,1.56612
0.8726326,1.3707702
0.7907288,1.4461043
0.8808492,1.0544381
0.908262,1.2048749
0.9563649,1.3417475
0.9936494,1.3050363
0.9178452,1.2369976
0.8842976,1.444839
0.9707121,1.5431088
0.9436994,1.2130135
1.0616455,1.4381277
1.0306999,1.5263844
0.9179647,1.334969
1.055414,1.5825296
1.1400585,1.4243735
0.9929227,1.399628
1.0226598,1.6171937
0.9244979,1.311364
0.9937494,1.472533
1.0191257,1.3119976
0.9773572,1.6545826
0.8730895,1.282473
0.8772748,1.5633045
0.9503993,1.4701622
1.0559606,1.2320262
0.7949111,1.4755427
0.9834361,1.3904655
0.9367796,1.2781098
0.9261091,1.1881986
0.9831024,1.2589617
0.9355431,1.1743345
0.9249923,1.3126494
0.7857079,1.3306798
1.1349893,1.5147758
0.9553472,1.3846378
1.0864686,1.4738757
0.8483338,1.323684
0.9270596,1.6449783
1.0223666,1.3745446
1.0159325,1.3090549
0.9214953,1.5546568
0.8321782,1.5947512
0.8020974,1.6327493
0.959044,1.4955988
0.7143949,1.2818883
0.8165245,1.7313443
0.9467899,1.2485737
1.0303612,1.3070403
0.8821149,1.3586871
1.0005533,1.3795463
0.9981468,1.3451536
0.9126136,1.239507
0.990994,1.3809808
0.9263172,1.4021806
0.9958486,1.1222184
0.9359781,1.0102018
0.9894909,1.364354
0.7368593,1.3566948
0.8516695,1.3465759
0.7322617,1.2672388
0.8637599,1.1489865
0.9408121,1.4733002
0.9447524,1.479554
0.935421,1.3261176
0.9905933,1.3619665
0.9805243,1.2162588
0.9791992,1.2222238
1.0511901,1.3837787
0.8705448,1.5458981
0.9224445,1.1752153
0.940553,1.3973998
1.0074458,1.4095761
0.9031531,1.4603952
0.648274,1.2292475
0.8259718,1.1604283
0.8749454,1.2766593
0.8634585,1.521631
1.0069779,1.2824574
0.9928831,1.0977936
0.8919378,1.229127
1.0173587,1.3176022
0.9003081,1.3158018
1.1060684,1.6514443
0.8464361,1.1813462
1.0222316,1.3644895
0.800835,1.3025756
0.9688956,1.3209469
0.6906759,1.2909176
1.0678445,1.5434872
0.717601,1.4308481
1.0183726,1.1258581
0.9559306,1.440047
0.9490726,1.0121313
1.0794655,1.2597846
0.9450384,1.3643193
0.8217334,1.2791222
0.8553843,1.3806559
0.9324945,1.1120599
0.8985449,1.113016
0.8720701,1.58375
1.0938213,1.4650989
0.9963121,1.0684983
0.9367513,1.4937318
0.8642548,1.2477952
0.9129017,1.4355064
0.9219393,1.5753134
0.8817614,1.3131577
1.0379033,1.1327485
1.044127,1.471446
0.8734415,1.5159971
0.9434749,1.2414492
0.6595149,1.3356607
0.9287684,1.3888051
0.8209597,1.4531751
0.84597,1.370812
0.9040566,1.3558642
0.9044161,1.6164167
0.8596386,1.3418345
1.0665234,1.2379205
1.0893226,1.4957891
0.8777135,1.20703
1.0114648,1.3883194
1.0951186,1.1402234
0.9236108,1.3595281
0.8172357,1.2274755
0.9369609,1.2805592
0.9798985,1.298813
1.0527112,1.3897581
0.7550269,1.3537029
0.9432145,1.037071
1.0461099,1.244412
0.9342839,1.2905678
0.9676541,1.2002477
0.9214403,1.5185383
1.1307369,1.3531823
1.1235699,1.6663033
0.8752582,1.3216317
0.8622824,1.3016573
0.8649496,1.5180858
1.0074699,1.2676445
1.0231885,1.3363622
1.0357549,1.2949577
0.9502519,1.3535885
1.0084376,1.1900585
1.0192958,1.2906959
0.9138408,1.6706741
0.9452951,1.203691
0.8910185,1.2863183
0.8548507,1.2848784
0.8524143,1.1518863
0.9672647,1.4435483
0.9366809,1.2849119
0.9086108,1.3373078
1.0303095,1.1709408
1.0017482,1.4019812
0.9086782,1.2828106
0.9787457,1.3761852
0.9485492,1.3410773
0.833937,1.5419587
0.8991679,1.2388507
0.9209011,1.3084849
1.0215946,1.5397687
0.7993319,1.2558726
0.8813635,1.3147131
0.855062,1.5735728
1.1049337,1.355397
1.0215917,1.283514
0.8169972,1.247589
0.9465572,1.2451039
1.1290251,1.4419115
1.0430832,1.294203
0.9469584,1.1910183
0.8838009,1.5604401
0.8388669,1.2871091
0.9410976,1.1362693
0.8646763,1.2659207
1.0464871,1.4810081
0.9747799,1.2678566
0.9590352,1.3623779
0.9007345,1.4979221
0.9370557,1.2200503
1.0279486,1.2961838
1.0182356,1.1179966
0.9739163,1.28222
1.0290251,1.4490075
1.023809,1.2062197
1.0599882,1.3538108
0.8572086,1.491105
0.7606765,1.4144659
0.8751031,1.4472541
1.0160349,1.2686226
0.8491362,1.4639862
0.8487381,1.1827682
1.011146,1.3268433
0.8284431,1.2202685
0.994266,1.714874
1.0662786,1.5157672
0.7599042,1.3869584
0.8767508,1.4033742
0.9605788,1.4306487
0.9557347,1.5633427
0.8537315,1.5455799
0.9625655,1.5223067
0.9372384,1.3816132
0.9566028,1.4531837
1.0028426,1.3776645
0.8950022,1.4668657
1.1341344,1.1678516
0.8791981,1.1702373
0.9092235,1.3539223
0.8867659,1.1486502
0.8943415,1.4387512
0.8842967,1.3407238
1.2371896,1.2496384
0.8802409,1.2543387
0.8316514,1.364237
0.9115232,1.3816247
1.0163717,1.2634364
0.8367682,1.4988844
0.9889072,1.4002483
0.9162373,1.1872264
1.0173906,1.3009549
0.9298985,1.2339247
0.9346002,1.2817271
0.8254925,1.272011
0.8809577,1.521539
1.0389456,1.4279887
0.6575592,1.41117
0.8730557,1.3085631
0.9586827,1.2482222
0.9391735,1.2051484
1.2036274,1.1938624
0.806663,1.0189201
1.0853433,1.2578711
0.8287318,1.4319065
0.9669999,1.2411661
0.7157224,1.3541574
0.9173269,1.3784522
0.8553362,1.2076927
0.8974572,1.3441659
0.838147,1.4575257
0.7828934,1.3351141
0.9960636,1.5795273
0.8998428,1.4347718
0.8503301,1.5921442
0.7730476,1.2516983
0.9985159,1.224625
0.8825774,1.2553892
1.0079812,1.3520566
0.8718505,1.2452359
0.8834087,1.1441319
0.9681775,1.2549744
0.9588582,1.4991019
0.9278518,1.3446091
1.2959283,1.2164211
1.0974069,1.1344
1.0521229,1.7214642
0.9226867,1.0556321
1.1589201,1.4485566
1.1141964,1.3236412
0.9013405,1.4938823
0.9601576,1.4143626
0.8546229,1.4547049
0.9447279,1.2211859
0.8956273,1.5663946
1.0248573,1.267765
0.7759702,1.3289194
1.0882069,1.5580823
0.9129454,1.4332922
0.9260978,1.2928026
1.0187521,1.445628
0.7392205,1.269938
0.9469884,1.4979677
1.0956478,1.2277813
0.9044457,1.3435869
0.9710464,1.3438916
0.8774605,1.6460685
0.9093116,1.3171813
0.8036797,1.2911736
0.7909617,1.2200756
0.7362505,1.3784943
0.7905021,1.2742831
0.8721671,1.224863
1.1526033,1.4914817
0.9855988,1.4755123
0.97083,1.230415
0.9631345,1.3931178
0.8501383,1.3284644
0.9580482,1.4727439
0.8649409,1.2925858
1.2104624,1.0663779
0.9044748,1.193392
0.904477,1.297435
0.9984815,1.4524257
0.8672469,1.4746621
0.8138162,1.4018472
0.8531342,1.3189586
1.1622433,1.3355926
1.0190808,1.5327856
0.8704041,1.1188638
0.7352871,1.1858981
1.0462633,1.3691317
1.0281458,1.6755485
0.7898227,1.4329747
0.9776316,1.2088993
0.7281883,1.3877678
1.0319441,1.3773022
1.0120103,1.4322884
0.8121672,1.5239209
0.8855076,1.4396888
0.9278407,1.3456491
1.0925629,1.4437003
1.0742256,1.4555164
0.7881391,1.5798829
0.9663581,1.2307313
0.8784672,1.4286444
1.1628437,1.3500031
0.9806303,1.2169917
1.0420565,1.1688677
0.8611693,1.3898239
1.0335345,1.5340277
1.0634167,1.1867164
0.8687471,1.2354378
0.8411081,1.3407058
0.8547558,1.2551855
0.8658074,1.2132804
0.8498724,1.3380934
0.9921755,1.2445278
0.9363835,1.4883044
0.9210182,1.5308735
0.9574143,1.2988499
0.7940699,1.2348079
0.7476856,1.5853014
0.9341848,1.2979641
1.0230165,1.2110719
0.8700156,1.4170124
1.0800707,1.4885629
0.9778316,1.3545458
0.9695351,1.3964959
1.0354388,1.3042048
0.8408533,1.4124179
1.184335,1.3193493
1.0536514,1.4749116
1.1721249,1.3906973
1.0460862,1.1890225
0.8994018,1.3740751
0.969829,1.305265
0.9510719,1.2776764
0.9689245,1.4725174
0.999201,1.1246127
0.9966273,1.5155659
1.0754183,1.2654107
0.8904049,1.3576194
0.7909113,1.1440075
0.8092351,1.1851642
0.9802686,1.2786917
0.775273,1.4294522
0.9129249,1.3712843
0.8142224,1.4239383
0.9080723,1.432724
0.8158638,1.3064996
0.8786564,1.3057207
0.8518317,1.5566002
1.0524345,1.3369102
0.9187222,1.3449317
0.950205,1.2485302
0.8882654,1.3698221
1.0692368,1.1356541
0.9488587,1.0012655
0.934018,1.231311
0.9737535,1.1459844
1.0207822,1.2384404
0.9620435,1.3637376
0.9166945,1.4815786
1.1549803,1.2308625
1.041965,1.1195547
0.8529013,1.3823454
0.9686923,1.4528241
0.8344662,1.0195114
1.0721229,1.1432591
0.8035932,1.2941692
1.0854392,1.3644537
0.8917095,1.4949015
1.0496998,1.3781818
0.8404979,1.4657739
0.7762007,1.2543451
0.9584613,1.2096441
1.0555995,1.1675075
1.0141839,1.1394021
0.9461655,1.2374552
0.8984504,1.3289671
0.9665357,1.3162866
0.931286,1.3178554
1.2431086,1.3486057
0.983381,1.5587682
0.8175673,1.2813729
0.9924286,1.4144546
0.8034393,1.4274237
1.023212,1.5287265
0.914539,1.2212728
1.1000906,1.5434944
1.0948592,1.5937572
1.0005577,1.0656364
0.9969337,1.414653
0.9789569,1.167994
1.022,1.4099231
1.1532259,1.3857547
0.9398608,1.2710317
1.0026256,1.4680601
0.8966538,1.1174874
1.1363992,1.2862858
1.0033881,1.4764717
0.9808838,1.378202
1.0121458,1.3761107
1.0206305,1.4731934
1.042208,1.6730288
1.0215394,1.2840559
0.789311,1.4559203
1.1021045,1.6297205
0.7744337,1.2913679
1.0882848,1.2368536
0.8834024,1.3440797
0.8050249,1.2568219
0.9039642,1.2072438
0.8168159,1.4617957
0.8747397,1.4310775
0.8182148,1.2468063
0.906769,1.4398155
1.1337734,1.3114555
1.0843231,1.3100984
0.9688502,1.2024823
0.9430041,1.2016904
1.0081973,1.4048444
1.0660189,1.6726237
0.927546,1.4097405
0.9393429,1.3460453
0.8443144,1.5135359
0.9044386,1.4179179
1.1940314,1.3555815
0.8634284,1.1901092
0.9733394,1.6685563
1.0514858,1.2319681
0.9561164,1.6319745
1.1258907,1.4727619
1.0766957,1.1593836
0.9175668,1.5884348
0.8533639,1.1902264
0.9106372,1.3084962
0.9875233,1.3187187
1.1717469,1.1798176
1.0445975,1.5470177
1.0349436,1.3639065
0.968322,1.3478118
1.0715942,1.3344644
0.9377004,1.1932045
0.9989831,1.3597271
1.116037,1.376336
0.8845926,1.3061487
0.9515537,1.2940252
0.8215163,1.3735116
0.9933071,1.2215424
0.8539621,1.3755748
0.9509468,1.1167399
0.9687908,1.3376436
0.8364434,1.5083093
0.9653689,1.3645347
0.8377462,1.4812492
0.9449869,1.5863082
0.9540665,1.2804944
1.0555867,1.2419406
1.1035308,1.3221179
1.1209413,1.2734172
0.9513284,1.4585121
0.965016,1.2689771
0.9123371,1.6258505
0.7886259,1.5329248
1.0197203,1.4135893
0.918865,1.4784245
0.8919027,1.4079422
0.9535229,1.3195032
1.0571805,1.4340458
0.7641177,1.3580844
1.0417296,1.1249186
0.9482258,1.4893159
0.9827479,1.4155135
0.7953708,1.4323831
0.8447187,1.456292
0.9402271,1.1919753
0.7508401,1.5349545
0.9781639,1.3007432
1.0891751,1.260414
1.0059186,1.4057856
0.9685532,1.4417909
0.6910131,1.2964341
0.8848966,1.2417399
0.7858463,1.4707202
1.1181337,1.4217169
0.843431,1.2808842
0.828268,1.4872306
0.9581869,1.4410924
0.7808214,1.5095738
0.8327913,1.5061538
1.0273205,1.444791
0.9830655,1.1846842
0.9907058,1.4829177
0.9702541,1.5018232
0.8774486,1.3344419
0.802694,1.4160765
0.9905251,1.4706051
1.0350348,1.363234
0.9182775,1.1848214
1.0083079,1.3746394
1.0679559,1.400794
1.0062338,1.4898446
1.0283552,1.3103744
0.8083286,1.5138637
1.0270271,1.4785991
0.920395,1.2078931
0.9055361,1.3179237
0.9303942,1.4286214
1.0568312,1.3189591
0.9438209,1.2466068
0.8015546,1.1479454
0.91237,1.3853265
0.9302873,1.4836592
0.8386955,1.2953808
1.0868815,1.2389272
0.9438664,1.2643642
0.8546417,1.4932941
1.0655074,1.342377
0.9034354,1.3484598
0.8137106,1.5039241
1.0069606,1.2955002
0.9434892,1.3100614
1.0485963,1.2877112
0.8844702,1.4379776
1.0697371,1.2115965
1.0421999,1.1722536
0.9391165,1.550319
0.8954267,1.4253881
0.9293317,1.500426
0.893345,1.4648549
0.8205861,1.2262923
0.8545298,1.0763615
1.0356224,1.3941216
0.8260115,1.2607209
0.8974052,1.3441556
1.0483322,1.2960819
0.8413727,1.5154309
0.8896324,1.2248276
1.0478088,1.0701321
1.0639521,1.3102712
0.8013356,1.3454118
1.007373,1.5046196
0.9283976,1.4165708
0.8453187,1.4000582
1.0594544,1.4900875
1.1046838,1.5155034
1.0616705,1.4086221
0.9212382,1.5340689
0.9059104,1.4731496
1.046501,1.6326677
1.0518432,1.2281826
1.0520232,1.1893746
0.978974,1.4599086
0.9878549,1.3888598
1.0087294,1.6140938
0.9127364,1.4044791
0.9303086,1.4548031
0.9953768,1.5234744
0.9144764,1.3254605
0.8709306,1.3008228
1.2354966,1.2102396
0.91625,1.4077569
0.9433885,1.3426457
0.8621232,1.3231107
1.0371402,1.4932455
0.8740458,1.3896153
0.9849948,1.4334116
0.8529439,1.3047927
0.8753521,1.2380815
0.9759915,1.3547899
1.1573066,1.3683486
0.8428265,1.5169937
0.9913651,1.3650664
0.8977578,1.3588598
1.0094482,1.1964582
1.0474023,1.3246526
1.0612954,1.2810232
1.096653,1.410603
0.7772039,1.1923417
0.9135855,1.304596
0.9237307,1.4054211
1.0052059,1.3021818
1.0666616,1.299618
0.8690499,1.0941765
0.9036773,1.5034808
0.9310516,1.327819
0.9441427,1.1666135
0.8843003,1.1639912
1.0091459,1.4332731
0.9889848,1.3700603
1.0135773,1.185631
0.8136499,1.4022906
0.8067729,1.4914021
0.9951708,1.4822246
1.0655691,1.473574
0.8693544,1.2974091
1.1111736,1.4041824
0.8976014,1.194627
0.8551005,1.4073543
0.8264298,1.1285486
1.0291328,1.3499755
0.9459726,1.3038055
1.002311,1.3298947
0.9175132,1.399674
0.9412696,1.3025974
1.0547034,1.467544
1.0716338,1.1882457
0.9299328,1.5707823
0.983629,1.2178763
0.649101,1.4920258
1.0923094,1.1712573
0.8971868,1.375468
0.7812564,1.4469535
0.9454054,1.2954205
0.9491963,1.2155702
0.9329081,1.4143907
0.9333243,1.2366023
0.9080857,1.5211499
1.0539611,1.3187197
1.0144074,1.1987351
0.7974117,1.5184578
0.7874736,1.127294
0.8931213,1.1690179
0.8812794,1.2321226
0.803203,1.2971938
0.7453475,1.3569123
1.0957087,1.3330774
0.8315038,1.3313005
1.124623,1.2322022
0.8977373,1.1009661
1.0229304,1.1089106
1.0309896,1.5873896
0.960624,1.2155087
0.9774026,1.3393478
0.94412,1.3218059
0.9867799,1.1341294
1.0954264,1.4780626
0.8978692,1.2740805
0.9418401,1.564478
1.1157274,1.2361853
0.7657043,1.3282384
0.9588426,1.3460417
0.9864171,1.4076782
1.1067293,1.4409167
1.0851168,1.3340931
0.9498218,1.4484095
0.8673522,1.6505463
0.9579152,1.3027545
0.8371725,1.2683862
0.8528388,1.2718908
0.9855102,1.3026266
1.0129389,1.2800605
0.8951405,1.2927931
0.9786809,1.4656311
0.8880938,1.2938237
0.9054513,1.5928653
0.8857706,1.2895018
1.0158336,1.4485895
0.9303106,1.2847668
0.8586502,1.4613725
1.0071158,1.4626868
0.9113398,1.3930522
0.8943109,1.3742548
1.1002914,1.2156195
1.0732656,1.3275598
0.9488805,1.3909409
0.8862684,1.4523015
1.0527812,1.1232799
0.8707481,1.1936299
1.0282446,1.4008728
0.9985561,1.2354065
0.7180581,1.4536318
0.9116,1.3796129
1.0541814,1.3178394
0.9941878,1.197198
1.0240021,1.2727714
1.0201307,1.409978
0.8256075,1.2826687
1.0755457,1.4204907
0.9368369,1.3909667
1.1091049,1.3692351
1.0929561,1.3718046
0.947094,1.3018867
0.7680734,1.5565028
0.9098949,1.2566972
0.8241166,1.4088341
0.9724478,1.5406682
1.1147316,1.4442202
0.9149686,1.2010282
0.9181604,1.4815134
0.8642249,1.335668
0.9958168,1.3840024
0.8359585,1.2495307
1.1114533,1.2211093
0.9933106,1.6569469
0.8856298,1.1453332
0.9909456,1.5566008
0.9732983,1.3374252
0.8103684,1.2819493
